split  input_noise  n_agents            protocol  tasks  solve_rate  mean_rounds  median_rounds  mean_ratio_to_lower_bound  mean_duplicate_fraction  mean_map_cosine  mean_top1_accuracy
   id         0.00         1     oracle_previous      6         1.0    24.000000           24.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00         1     pooled_goal_map      6         1.0    24.000000           24.0                   1.000000                 0.000000         0.985678            1.000000
   id         0.00         1        raw_previous      6         1.0    24.000000           24.0                   1.000000                 0.000000              NaN                 NaN
   id         0.00         1 relational_pair_map      6         1.0    24.000000           24.0                   1.000000                 0.000000         0.988517            1.000000
   id         0.00         1 relational_task_map      6         1.0    24.000000           24.0                   1.000000                 0.000000         0.986268            1.000000
   id         0.00         1          static_map      6         1.0    24.000000           24.0                   1.000000                 0.000000         0.986127            1.000000
   id         0.00         2     oracle_previous      6         1.0    12.000000           12.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00         2     pooled_goal_map      6         1.0    12.000000           12.0                   1.000000                 0.000000         0.985678            1.000000
   id         0.00         2        raw_previous      6         1.0    12.000000           12.0                   1.000000                 0.000000              NaN                 NaN
   id         0.00         2 relational_pair_map      6         1.0    12.000000           12.0                   1.000000                 0.000000         0.988517            1.000000
   id         0.00         2 relational_task_map      6         1.0    12.000000           12.0                   1.000000                 0.000000         0.986268            1.000000
   id         0.00         2          static_map      6         1.0    12.000000           12.0                   1.000000                 0.000000         0.986127            1.000000
   id         0.00         4     oracle_previous      6         1.0     6.000000            6.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00         4     pooled_goal_map      6         1.0     6.000000            6.0                   1.000000                 0.000000         0.985678            1.000000
   id         0.00         4        raw_previous      6         1.0     6.000000            6.0                   1.000000                 0.000000              NaN                 NaN
   id         0.00         4 relational_pair_map      6         1.0     6.000000            6.0                   1.000000                 0.000000         0.988517            1.000000
   id         0.00         4 relational_task_map      6         1.0     6.000000            6.0                   1.000000                 0.000000         0.986268            1.000000
   id         0.00         4          static_map      6         1.0     6.000000            6.0                   1.000000                 0.000000         0.986127            1.000000
   id         0.00         8     oracle_previous      6         1.0     3.000000            3.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00         8     pooled_goal_map      6         1.0     3.000000            3.0                   1.000000                 0.000000         0.985678            1.000000
   id         0.00         8        raw_previous      6         1.0     3.000000            3.0                   1.000000                 0.000000              NaN                 NaN
   id         0.00         8 relational_pair_map      6         1.0     3.000000            3.0                   1.000000                 0.000000         0.988517            1.000000
   id         0.00         8 relational_task_map      6         1.0     3.000000            3.0                   1.000000                 0.000000         0.986268            1.000000
   id         0.00         8          static_map      6         1.0     3.000000            3.0                   1.000000                 0.000000         0.986127            1.000000
   id         0.00        16     oracle_previous      6         1.0     2.000000            2.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00        16     pooled_goal_map      6         1.0     2.000000            2.0                   1.000000                 0.000000         0.985678            1.000000
   id         0.00        16        raw_previous      6         1.0     2.000000            2.0                   1.000000                 0.250000              NaN                 NaN
   id         0.00        16 relational_pair_map      6         1.0     2.000000            2.0                   1.000000                 0.000000         0.988517            1.000000
   id         0.00        16 relational_task_map      6         1.0     2.000000            2.0                   1.000000                 0.000000         0.986268            1.000000
   id         0.00        16          static_map      6         1.0     2.000000            2.0                   1.000000                 0.000000         0.986127            1.000000
   id         0.10         1     oracle_previous      6         1.0    24.000000           24.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.10         1     pooled_goal_map      6         1.0    24.000000           24.0                   1.000000                 0.000000         0.987546            1.000000
   id         0.10         1        raw_previous      6         1.0    24.000000           24.0                   1.000000                 0.000000              NaN                 NaN
   id         0.10         1 relational_pair_map      6         1.0    24.000000           24.0                   1.000000                 0.000000         0.989775            1.000000
   id         0.10         1 relational_task_map      6         1.0    24.000000           24.0                   1.000000                 0.000000         0.987905            1.000000
   id         0.10         1          static_map      6         1.0    24.000000           24.0                   1.000000                 0.000000         0.988094            1.000000
   id         0.10         2     oracle_previous      6         1.0    12.000000           12.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.10         2     pooled_goal_map      6         1.0    12.000000           12.0                   1.000000                 0.000000         0.987546            1.000000
   id         0.10         2        raw_previous      6         1.0    12.000000           12.0                   1.000000                 0.000000              NaN                 NaN
   id         0.10         2 relational_pair_map      6         1.0    12.000000           12.0                   1.000000                 0.000000         0.989775            1.000000
   id         0.10         2 relational_task_map      6         1.0    12.000000           12.0                   1.000000                 0.000000         0.987905            1.000000
   id         0.10         2          static_map      6         1.0    12.000000           12.0                   1.000000                 0.000000         0.988094            1.000000
   id         0.10         4     oracle_previous      6         1.0     6.000000            6.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.10         4     pooled_goal_map      6         1.0     6.000000            6.0                   1.000000                 0.000000         0.987546            1.000000
   id         0.10         4        raw_previous      6         1.0     6.000000            6.0                   1.000000                 0.000000              NaN                 NaN
   id         0.10         4 relational_pair_map      6         1.0     6.000000            6.0                   1.000000                 0.000000         0.989775            1.000000
   id         0.10         4 relational_task_map      6         1.0     6.000000            6.0                   1.000000                 0.000000         0.987905            1.000000
   id         0.10         4          static_map      6         1.0     6.000000            6.0                   1.000000                 0.000000         0.988094            1.000000
   id         0.10         8     oracle_previous      6         1.0     3.000000            3.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.10         8     pooled_goal_map      6         1.0     3.000000            3.0                   1.000000                 0.000000         0.987546            1.000000
   id         0.10         8        raw_previous      6         1.0     3.000000            3.0                   1.000000                 0.000000              NaN                 NaN
   id         0.10         8 relational_pair_map      6         1.0     3.000000            3.0                   1.000000                 0.000000         0.989775            1.000000
   id         0.10         8 relational_task_map      6         1.0     3.000000            3.0                   1.000000                 0.000000         0.987905            1.000000
   id         0.10         8          static_map      6         1.0     3.000000            3.0                   1.000000                 0.000000         0.988094            1.000000
   id         0.10        16     oracle_previous      6         1.0     2.000000            2.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.10        16     pooled_goal_map      6         1.0     2.000000            2.0                   1.000000                 0.000000         0.987546            1.000000
   id         0.10        16        raw_previous      6         1.0     2.000000            2.0                   1.000000                 0.250000              NaN                 NaN
   id         0.10        16 relational_pair_map      6         1.0     2.000000            2.0                   1.000000                 0.000000         0.989775            1.000000
   id         0.10        16 relational_task_map      6         1.0     2.000000            2.0                   1.000000                 0.000000         0.987905            1.000000
   id         0.10        16          static_map      6         1.0     2.000000            2.0                   1.000000                 0.000000         0.988094            1.000000
   id         0.20         1     oracle_previous      6         1.0    24.000000           24.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.20         1     pooled_goal_map      6         1.0    24.000000           24.0                   1.000000                 0.000000         0.986955            1.000000
   id         0.20         1        raw_previous      6         1.0    24.166667           24.0                   1.006944                 0.006667              NaN                 NaN
   id         0.20         1 relational_pair_map      6         1.0    64.166667           55.0                   2.673611                 0.382991         0.947580            0.979167
   id         0.20         1 relational_task_map      6         1.0    38.833333           24.0                   1.618056                 0.131268         0.975348            0.994213
   id         0.20         1          static_map      6         1.0    24.000000           24.0                   1.000000                 0.000000         0.986265            1.000000
   id         0.20         2     oracle_previous      6         1.0    12.000000           12.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.20         2     pooled_goal_map      6         1.0    12.000000           12.0                   1.000000                 0.000000         0.986955            1.000000
   id         0.20         2        raw_previous      6         1.0    12.166667           12.0                   1.013889                 0.012821              NaN                 NaN
   id         0.20         2 relational_pair_map      6         1.0    32.166667           27.5                   2.680556                 0.383291         0.947580            0.979167
   id         0.20         2 relational_task_map      6         1.0    19.500000           12.0                   1.625000                 0.131579         0.975348            0.994213
   id         0.20         2          static_map      6         1.0    12.000000           12.0                   1.000000                 0.000000         0.986265            1.000000
   id         0.20         4     oracle_previous      6         1.0     6.000000            6.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.20         4     pooled_goal_map      6         1.0     6.000000            6.0                   1.000000                 0.000000         0.986955            1.000000
   id         0.20         4        raw_previous      6         1.0     6.166667            6.0                   1.027778                 0.023810              NaN                 NaN
   id         0.20         4 relational_pair_map      6         1.0    16.166667           14.0                   2.694444                 0.384348         0.947580            0.979167
