split  input_noise  n_agents            protocol  tasks  solve_rate  mean_rounds  median_rounds  mean_ratio_to_lower_bound  mean_duplicate_fraction  mean_map_cosine  mean_top1_accuracy
   id         0.00         1     oracle_previous      5         1.0         24.0           24.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00         1     pooled_goal_map      5         1.0         24.0           24.0                   1.000000                 0.000000         0.981419            1.000000
   id         0.00         1        raw_previous      5         1.0         24.0           24.0                   1.000000                 0.000000              NaN                 NaN
   id         0.00         1 relational_task_map      5         1.0         24.0           24.0                   1.000000                 0.000000         0.983444            1.000000
   id         0.00         1          static_map      5         1.0         24.0           24.0                   1.000000                 0.000000         0.981244            1.000000
   id         0.00         2     oracle_previous      5         1.0         12.0           12.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00         2     pooled_goal_map      5         1.0         12.0           12.0                   1.000000                 0.000000         0.981419            1.000000
   id         0.00         2        raw_previous      5         1.0         12.0           12.0                   1.000000                 0.000000              NaN                 NaN
   id         0.00         2 relational_task_map      5         1.0         12.0           12.0                   1.000000                 0.000000         0.983444            1.000000
   id         0.00         2          static_map      5         1.0         12.0           12.0                   1.000000                 0.000000         0.981244            1.000000
   id         0.00         4     oracle_previous      5         1.0          6.0            6.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00         4     pooled_goal_map      5         1.0          6.0            6.0                   1.000000                 0.000000         0.981419            1.000000
   id         0.00         4        raw_previous      5         1.0          6.0            6.0                   1.000000                 0.000000              NaN                 NaN
   id         0.00         4 relational_task_map      5         1.0          6.0            6.0                   1.000000                 0.000000         0.983444            1.000000
   id         0.00         4          static_map      5         1.0          6.0            6.0                   1.000000                 0.000000         0.981244            1.000000
   id         0.00         8     oracle_previous      5         1.0          3.0            3.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00         8     pooled_goal_map      5         1.0          3.0            3.0                   1.000000                 0.000000         0.981419            1.000000
   id         0.00         8        raw_previous      5         1.0          3.0            3.0                   1.000000                 0.000000              NaN                 NaN
   id         0.00         8 relational_task_map      5         1.0          3.0            3.0                   1.000000                 0.000000         0.983444            1.000000
   id         0.00         8          static_map      5         1.0          3.0            3.0                   1.000000                 0.000000         0.981244            1.000000
   id         0.00        16     oracle_previous      5         1.0          2.0            2.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00        16     pooled_goal_map      5         1.0          2.0            2.0                   1.000000                 0.000000         0.981419            1.000000
   id         0.00        16        raw_previous      5         1.0          2.0            2.0                   1.000000                 0.250000              NaN                 NaN
   id         0.00        16 relational_task_map      5         1.0          2.0            2.0                   1.000000                 0.000000         0.983444            1.000000
   id         0.00        16          static_map      5         1.0          2.0            2.0                   1.000000                 0.000000         0.981244            1.000000
   id         0.10         1     oracle_previous      5         1.0         24.0           24.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.10         1     pooled_goal_map      5         1.0         24.0           24.0                   1.000000                 0.000000         0.979278            1.000000
   id         0.10         1        raw_previous      5         1.0         24.6           24.0                   1.025000                 0.023385              NaN                 NaN
   id         0.10         1 relational_task_map      5         1.0         24.0           24.0                   1.000000                 0.000000         0.984073            1.000000
   id         0.10         1          static_map      5         1.0         24.0           24.0                   1.000000                 0.000000         0.980052            1.000000
   id         0.10         2     oracle_previous      5         1.0         12.0           12.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.10         2     pooled_goal_map      5         1.0         12.0           12.0                   1.000000                 0.000000         0.979278            1.000000
   id         0.10         2        raw_previous      5         1.0         12.4           12.0                   1.033333                 0.030769              NaN                 NaN
   id         0.10         2 relational_task_map      5         1.0         12.0           12.0                   1.000000                 0.000000         0.984073            1.000000
   id         0.10         2          static_map      5         1.0         12.0           12.0                   1.000000                 0.000000         0.980052            1.000000
   id         0.10         4     oracle_previous      5         1.0          6.0            6.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.10         4     pooled_goal_map      5         1.0          6.0            6.0                   1.000000                 0.000000         0.979278            1.000000
   id         0.10         4        raw_previous      5         1.0          6.4            6.0                   1.066667                 0.057143              NaN                 NaN
   id         0.10         4 relational_task_map      5         1.0          6.0            6.0                   1.000000                 0.000000         0.984073            1.000000
   id         0.10         4          static_map      5         1.0          6.0            6.0                   1.000000                 0.000000         0.980052            1.000000
   id         0.10         8     oracle_previous      5         1.0          3.0            3.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.10         8     pooled_goal_map      5         1.0          3.0            3.0                   1.000000                 0.000000         0.979278            1.000000
   id         0.10         8        raw_previous      5         1.0          3.4            3.0                   1.133333                 0.100000              NaN                 NaN
   id         0.10         8 relational_task_map      5         1.0          3.0            3.0                   1.000000                 0.000000         0.984073            1.000000
   id         0.10         8          static_map      5         1.0          3.0            3.0                   1.000000                 0.000000         0.980052            1.000000
   id         0.10        16     oracle_previous      5         1.0          2.0            2.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.10        16     pooled_goal_map      5         1.0          2.0            2.0                   1.000000                 0.000000         0.979278            1.000000
   id         0.10        16        raw_previous      5         1.0          2.0            2.0                   1.000000                 0.250000              NaN                 NaN
   id         0.10        16 relational_task_map      5         1.0          2.0            2.0                   1.000000                 0.000000         0.984073            1.000000
   id         0.10        16          static_map      5         1.0          2.0            2.0                   1.000000                 0.000000         0.980052            1.000000
   id         0.20         1     oracle_previous      5         1.0         24.0           24.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.20         1     pooled_goal_map      5         1.0         49.2           41.0                   2.050000                 0.410987         0.906538            0.927083
   id         0.20         1        raw_previous      5         1.0         65.0           62.0                   2.708333                 0.543761              NaN                 NaN
   id         0.20         1 relational_task_map      5         1.0         79.6           72.0                   3.316667                 0.684231         0.700500            0.708333
   id         0.20         1          static_map      5         1.0         55.4           51.0                   2.308333                 0.393417         0.913634            0.945833
   id         0.20         2     oracle_previous      5         1.0         12.0           12.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.20         2     pooled_goal_map      5         1.0         24.8           21.0                   2.066667                 0.414713         0.906538            0.927083
   id         0.20         2        raw_previous      5         1.0         32.8           31.0                   2.733333                 0.549081              NaN                 NaN
   id         0.20         2 relational_task_map      5         1.0         40.0           36.0                   3.333333                 0.685656         0.700500            0.708333
   id         0.20         2          static_map      5         1.0         28.0           26.0                   2.333333                 0.396581         0.913634            0.945833
   id         0.20         4     oracle_previous      5         1.0          6.0            6.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.20         4     pooled_goal_map      5         1.0         12.6           11.0                   2.100000                 0.427751         0.906538            0.927083
   id         0.20         4        raw_previous      5         1.0         16.6           16.0                   2.766667                 0.559343              NaN                 NaN
   id         0.20         4 relational_task_map      5         1.0         20.4           18.0                   3.400000                 0.692222         0.700500            0.708333
   id         0.20         4          static_map      5         1.0         14.0           13.0                   2.333333                 0.396581         0.913634            0.945833
   id         0.20         8     oracle_previous      5         1.0          3.0            3.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.20         8     pooled_goal_map      5         1.0          6.6            6.0                   2.200000                 0.453333         0.906538            0.927083
   id         0.20         8        raw_previous      5         1.0          8.6            8.0                   2.866667                 0.587597              NaN                 NaN
   id         0.20         8 relational_task_map      5         1.0         10.4            9.0                   3.466667                 0.698810         0.700500            0.708333
   id         0.20         8          static_map      5         1.0          7.2            7.0                   2.400000                 0.404762         0.913634            0.945833
   id         0.20        16     oracle_previous      5         1.0          2.0            2.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.20        16     pooled_goal_map      5         1.0          4.0            4.0                   2.000000                 0.473074         0.906538            0.927083
   id         0.20        16        raw_previous      5         1.0          5.0            5.0                   2.500000                 0.598788              NaN                 NaN
   id         0.20        16 relational_task_map      5         1.0          6.0            5.0                   3.000000                 0.713846         0.700500            0.708333
   id         0.20        16          static_map      5         1.0          4.2            4.0                   2.100000                 0.407619         0.913634            0.945833
   id         0.35         1     oracle_previous      5         1.0         24.0           24.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.35         1     pooled_goal_map      5         1.0         91.8           87.0                   3.825000                 0.728341         0.603547            0.600000
   id         0.35         1        raw_previous      5         1.0         85.6           75.0                   3.566667                 0.701964              NaN                 NaN
   id         0.35         1 relational_task_map      5         1.0         86.4           83.0                   3.600000                 0.709273         0.237455            0.189583
   id         0.35         1          static_map      5         1.0         78.6           78.0                   3.275000                 0.686421         0.615541            0.620833
   id         0.35         2     oracle_previous      5         1.0         12.0           12.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.35         2     pooled_goal_map      5         1.0         46.2           44.0                   3.850000                 0.730369         0.603547            0.600000
   id         0.35         2        raw_previous      5         1.0         43.0           38.0                   3.583333                 0.703154              NaN                 NaN
