split  input_noise  n_agents            protocol  tasks  solve_rate  mean_rounds  median_rounds  mean_ratio_to_lower_bound  mean_duplicate_fraction  mean_map_cosine  mean_top1_accuracy
   id         0.00         1     oracle_previous     12    1.000000    24.000000           24.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00         1     pooled_goal_map     12    1.000000    24.000000           24.0                   1.000000                 0.000000         0.987069            1.000000
   id         0.00         1        raw_previous     12    1.000000    41.833333           42.0                   1.743056                 0.423076              NaN                 NaN
   id         0.00         1 relational_pair_map     12    1.000000    24.000000           24.0                   1.000000                 0.000000         0.985093            1.000000
   id         0.00         1 relational_task_map     12    1.000000    24.000000           24.0                   1.000000                 0.000000         0.985886            1.000000
   id         0.00         1          static_map     12    1.000000    24.000000           24.0                   1.000000                 0.000000         0.986691            1.000000
   id         0.00         2     oracle_previous     12    1.000000    12.000000           12.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00         2     pooled_goal_map     12    1.000000    12.000000           12.0                   1.000000                 0.000000         0.987069            1.000000
   id         0.00         2        raw_previous     12    1.000000    21.250000           21.0                   1.770833                 0.432460              NaN                 NaN
   id         0.00         2 relational_pair_map     12    1.000000    12.000000           12.0                   1.000000                 0.000000         0.985093            1.000000
   id         0.00         2 relational_task_map     12    1.000000    12.000000           12.0                   1.000000                 0.000000         0.985886            1.000000
   id         0.00         2          static_map     12    1.000000    12.000000           12.0                   1.000000                 0.000000         0.986691            1.000000
   id         0.00         4     oracle_previous     12    1.000000     6.000000            6.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00         4     pooled_goal_map     12    1.000000     6.000000            6.0                   1.000000                 0.000000         0.987069            1.000000
   id         0.00         4        raw_previous     12    1.000000    10.833333           11.0                   1.805556                 0.442929              NaN                 NaN
   id         0.00         4 relational_pair_map     12    1.000000     6.000000            6.0                   1.000000                 0.000000         0.985093            1.000000
   id         0.00         4 relational_task_map     12    1.000000     6.000000            6.0                   1.000000                 0.000000         0.985886            1.000000
   id         0.00         4          static_map     12    1.000000     6.000000            6.0                   1.000000                 0.000000         0.986691            1.000000
   id         0.00         8     oracle_previous     12    1.000000     3.000000            3.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00         8     pooled_goal_map     12    1.000000     3.000000            3.0                   1.000000                 0.000000         0.987069            1.000000
   id         0.00         8        raw_previous     12    1.000000     5.750000            6.0                   1.916667                 0.475000              NaN                 NaN
   id         0.00         8 relational_pair_map     12    1.000000     3.000000            3.0                   1.000000                 0.000000         0.985093            1.000000
   id         0.00         8 relational_task_map     12    1.000000     3.000000            3.0                   1.000000                 0.000000         0.985886            1.000000
   id         0.00         8          static_map     12    1.000000     3.000000            3.0                   1.000000                 0.000000         0.986691            1.000000
   id         0.00        16     oracle_previous     12    1.000000     2.000000            2.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00        16     pooled_goal_map     12    1.000000     2.000000            2.0                   1.000000                 0.000000         0.987069            1.000000
   id         0.00        16        raw_previous     12    1.000000     3.000000            3.0                   1.500000                 0.500000              NaN                 NaN
   id         0.00        16 relational_pair_map     12    1.000000     2.000000            2.0                   1.000000                 0.000000         0.985093            1.000000
   id         0.00        16 relational_task_map     12    1.000000     2.000000            2.0                   1.000000                 0.000000         0.985886            1.000000
   id         0.00        16          static_map     12    1.000000     2.000000            2.0                   1.000000                 0.000000         0.986691            1.000000
   id         0.10         1     oracle_previous     12    1.000000    24.000000           24.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.10         1     pooled_goal_map     12    1.000000    24.000000           24.0                   1.000000                 0.000000         0.987603            1.000000
   id         0.10         1        raw_previous     12    1.000000    35.583333           35.0                   1.482639                 0.308834              NaN                 NaN
   id         0.10         1 relational_pair_map     12    1.000000    24.000000           24.0                   1.000000                 0.000000         0.989521            1.000000
   id         0.10         1 relational_task_map     12    1.000000    24.000000           24.0                   1.000000                 0.000000         0.988658            1.000000
   id         0.10         1          static_map     12    1.000000    24.000000           24.0                   1.000000                 0.000000         0.987356            1.000000
   id         0.10         2     oracle_previous     12    1.000000    12.000000           12.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.10         2     pooled_goal_map     12    1.000000    12.000000           12.0                   1.000000                 0.000000         0.987603            1.000000
   id         0.10         2        raw_previous     12    1.000000    18.083333           18.0                   1.506944                 0.321790              NaN                 NaN
   id         0.10         2 relational_pair_map     12    1.000000    12.000000           12.0                   1.000000                 0.000000         0.989521            1.000000
   id         0.10         2 relational_task_map     12    1.000000    12.000000           12.0                   1.000000                 0.000000         0.988658            1.000000
   id         0.10         2          static_map     12    1.000000    12.000000           12.0                   1.000000                 0.000000         0.987356            1.000000
   id         0.10         4     oracle_previous     12    1.000000     6.000000            6.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.10         4     pooled_goal_map     12    1.000000     6.000000            6.0                   1.000000                 0.000000         0.987603            1.000000
   id         0.10         4        raw_previous     12    1.000000     9.250000            9.5                   1.541667                 0.336652              NaN                 NaN
   id         0.10         4 relational_pair_map     12    1.000000     6.000000            6.0                   1.000000                 0.000000         0.989521            1.000000
