split  input_noise  n_agents            protocol  tasks  solve_rate  mean_rounds  median_rounds  mean_ratio_to_lower_bound  mean_duplicate_fraction  mean_map_cosine  mean_top1_accuracy
   id         0.00         1     oracle_previous      6    1.000000    24.000000           24.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00         1     pooled_goal_map      6    1.000000    24.000000           24.0                   1.000000                 0.000000         0.987087            1.000000
   id         0.00         1        raw_previous      6    1.000000    44.500000           45.0                   1.854167                 0.458107              NaN                 NaN
   id         0.00         1 relational_pair_map      6    1.000000    24.000000           24.0                   1.000000                 0.000000         0.986291            1.000000
   id         0.00         1 relational_task_map      6    1.000000    24.000000           24.0                   1.000000                 0.000000         0.988227            1.000000
   id         0.00         1          static_map      6    1.000000    24.000000           24.0                   1.000000                 0.000000         0.986786            1.000000
   id         0.00         2     oracle_previous      6    1.000000    12.000000           12.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00         2     pooled_goal_map      6    1.000000    12.000000           12.0                   1.000000                 0.000000         0.987087            1.000000
   id         0.00         2        raw_previous      6    1.000000    22.500000           22.5                   1.875000                 0.464559              NaN                 NaN
   id         0.00         2 relational_pair_map      6    1.000000    12.000000           12.0                   1.000000                 0.000000         0.986291            1.000000
   id         0.00         2 relational_task_map      6    1.000000    12.000000           12.0                   1.000000                 0.000000         0.988227            1.000000
   id         0.00         2          static_map      6    1.000000    12.000000           12.0                   1.000000                 0.000000         0.986786            1.000000
   id         0.00         4     oracle_previous      6    1.000000     6.000000            6.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00         4     pooled_goal_map      6    1.000000     6.000000            6.0                   1.000000                 0.000000         0.987087            1.000000
   id         0.00         4        raw_previous      6    1.000000    11.333333           11.5                   1.888889                 0.468182              NaN                 NaN
   id         0.00         4 relational_pair_map      6    1.000000     6.000000            6.0                   1.000000                 0.000000         0.986291            1.000000
   id         0.00         4 relational_task_map      6    1.000000     6.000000            6.0                   1.000000                 0.000000         0.988227            1.000000
   id         0.00         4          static_map      6    1.000000     6.000000            6.0                   1.000000                 0.000000         0.986786            1.000000
   id         0.00         8     oracle_previous      6    1.000000     3.000000            3.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00         8     pooled_goal_map      6    1.000000     3.000000            3.0                   1.000000                 0.000000         0.987087            1.000000
   id         0.00         8        raw_previous      6    1.000000     5.833333            6.0                   1.944444                 0.483333              NaN                 NaN
   id         0.00         8 relational_pair_map      6    1.000000     3.000000            3.0                   1.000000                 0.000000         0.986291            1.000000
   id         0.00         8 relational_task_map      6    1.000000     3.000000            3.0                   1.000000                 0.000000         0.988227            1.000000
   id         0.00         8          static_map      6    1.000000     3.000000            3.0                   1.000000                 0.000000         0.986786            1.000000
   id         0.00        16     oracle_previous      6    1.000000     2.000000            2.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.00        16     pooled_goal_map      6    1.000000     2.000000            2.0                   1.000000                 0.000000         0.987087            1.000000
   id         0.00        16        raw_previous      6    1.000000     3.000000            3.0                   1.500000                 0.500000              NaN                 NaN
   id         0.00        16 relational_pair_map      6    1.000000     2.000000            2.0                   1.000000                 0.000000         0.986291            1.000000
   id         0.00        16 relational_task_map      6    1.000000     2.000000            2.0                   1.000000                 0.000000         0.988227            1.000000
   id         0.00        16          static_map      6    1.000000     2.000000            2.0                   1.000000                 0.000000         0.986786            1.000000
   id         0.10         1     oracle_previous      6    1.000000    24.000000           24.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.10         1     pooled_goal_map      6    1.000000    24.000000           24.0                   1.000000                 0.000000         0.987548            1.000000
   id         0.10         1        raw_previous      6    1.000000    39.500000           41.0                   1.645833                 0.386838              NaN                 NaN
   id         0.10         1 relational_pair_map      6    1.000000    24.000000           24.0                   1.000000                 0.000000         0.989152            1.000000
   id         0.10         1 relational_task_map      6    1.000000    24.000000           24.0                   1.000000                 0.000000         0.989554            1.000000
   id         0.10         1          static_map      6    1.000000    24.000000           24.0                   1.000000                 0.000000         0.987097            1.000000
   id         0.10         2     oracle_previous      6    1.000000    12.000000           12.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.10         2     pooled_goal_map      6    1.000000    12.000000           12.0                   1.000000                 0.000000         0.987548            1.000000
   id         0.10         2        raw_previous      6    1.000000    20.000000           21.0                   1.666667                 0.394048              NaN                 NaN
   id         0.10         2 relational_pair_map      6    1.000000    12.000000           12.0                   1.000000                 0.000000         0.989152            1.000000
   id         0.10         2 relational_task_map      6    1.000000    12.000000           12.0                   1.000000                 0.000000         0.989554            1.000000
   id         0.10         2          static_map      6    1.000000    12.000000           12.0                   1.000000                 0.000000         0.987097            1.000000
   id         0.10         4     oracle_previous      6    1.000000     6.000000            6.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.10         4     pooled_goal_map      6    1.000000     6.000000            6.0                   1.000000                 0.000000         0.987548            1.000000
   id         0.10         4        raw_previous      6    1.000000    10.333333           11.0                   1.722222                 0.411364              NaN                 NaN
   id         0.10         4 relational_pair_map      6    1.000000     6.000000            6.0                   1.000000                 0.000000         0.989152            1.000000
   id         0.10         4 relational_task_map      6    1.000000     6.000000            6.0                   1.000000                 0.000000         0.989554            1.000000
   id         0.10         4          static_map      6    1.000000     6.000000            6.0                   1.000000                 0.000000         0.987097            1.000000
   id         0.10         8     oracle_previous      6    1.000000     3.000000            3.0                   1.000000                 0.000000         1.000000            1.000000
   id         0.10         8     pooled_goal_map      6    1.000000     3.000000            3.0                   1.000000                 0.000000         0.987548            1.000000
   id         0.10         8        raw_previous      6    1.000000     5.500000            6.0                   1.833333                 0.441667              NaN                 NaN
   id         0.10         8 relational_pair_map      6    1.000000     3.000000            3.0                   1.000000                 0.000000         0.989152            1.000000
   id         0.10         8 relational_task_map      6    1.000000     3.000000            3.0                   1.000000                 0.000000         0.989554            1.000000
   id         0.10         8          static_map      6    1.000000     3.000000            3.0                   1.000000                 0.000000         0.987097            1.000000
